"cla_id","cll_id","agn_id"
"1122","11564","92"
"1123","11565","92"
"1124","11569","92"
"1125","11540","92"
"1126","11541","92"
"1127","11546","92"
"1128","20421","68"
"1129","20421","89"
"1130","20421","182"
"1131","20421","185"
"1132","8348","92"
"1133","8349","92"
"1134","8346","92"
"1135","20422","117"
"1136","20422","119"
"1137","8320","92"
"1138","8321","92"
"1139","6522","92"
"1140","16392","92"
"1141","8325","135"
"1142","24589","92"
"1143","20427","77"
"1144","20427","118"
"1145","20427","174"
"1146","20427","185"
"1151","20426","92"
"1152","8313","92"
"1153","8312","92"
"1154","8318","92"
"1155","8319","76"
"1156","8319","145"
"1157","6524","92"
"1158","8303","89"
"1159","8303","92"
"1160","8303","218"
"1161","8305","92"
"1162","8306","92"
"1163","4870","92"
"1164","20431","185"
"1165","8328","92"
"1166","6517","92"
"1167","8331","92"
"1168","8331","118"
"1169","8331","120"
"1170","20430","119"
"1171","16384","160"
"1172","16384","185"
"1173","3032","92"
"1174","14188","92"
"1175","4869","92"
"1176","14187","92"
"1177","16386","92"
"1178","8339","92"
"1179","4862","92"
"1180","4863","156"
"1181","8290","92"
"1182","8291","89"
"1183","8291","92"
"1184","8291","185"
"1185","8292","92"
"1187","3037","92"
"1188","3038","92"
"1189","3044","92"
"1190","3045","92"
"1191","3046","92"
"1192","3051","92"
"1193","3052","92"
"1194","3053","92"
"1195","20416","92"
"1196","3059","92"
"1197","14181","92"
"1198","8295","92"
"1199","16404","92"
"1200","16412","92"
"1201","16409","92"
"1202","16410","67"
"1203","16410","119"
"1204","16410","185"
"1205","16415","92"
"1206","16417","185"
"1207","16419","92"
"1208","16427","92"
"1209","16428","185"
"1210","20407","92"
"1211","16429","92"
"1212","4866","156"
"1213","16423","92"
"1214","14174","92"
"1215","14175","92"
"1216","14176","92"
"1217","20411","92"
"1218","14177","92"
"1219","6529","92"
"1220","16431","156"
"1221","20400","92"
"1222","8298","185"
"1223","8299","185"
"1224","8299","218"
"1225","8300","118"
"1226","8300","120"
"1227","8300","185"
"1228","20405","92"
"1229","20114","92"
"1230","20124","92"
"1231","20125","92"
"1232","6477","92"
"1233","20128","92"
"1234","20129","92"
"1235","20121","92"
"1236","20122","92"
"1237","3022","92"
"1238","3023","92"
"1239","20110","92"
"1240","20107","92"
"1241","15897","89"
"1242","15897","92"
"1243","15897","171"
"1244","15897","185"
"1245","8302","195"
"1246","16433","156"
"1247","16434","185"
"1248","4868","92"
"1249","16439","76"
"1250","16439","185"
"1251","6527","92"
"1252","20397","92"
"1253","21961","157"
"1254","16440","156"
"1255","21962","92"
"1256","6501","92"
"1257","6502","92"
"1258","6503","92"
"1259","6509","92"
"1260","6511","92"
"1261","16496","76"
"1262","16496","109"
"1263","16496","156"
"1264","16496","185"
"1265","22080","156"
"1266","22081","185"
"1267","20367","117"
"1268","20367","160"
"1269","20367","169"
"1270","22050","185"
"1271","22051","92"
"1272","16468","185"
"1273","16466","171"
"1274","16466","185"
"1275","14131","92"
"1276","24588","185"
"1277","4872","92"
"1278","6491","185"
"1279","22054","92"
"1280","22055","218"
"1281","20372","92"
"1282","16474","119"
"1283","16474","160"
"1284","16474","185"
"1285","16471","67"
"1286","16471","119"
"1287","16471","185"
"1288","14152","92"
"1289","22048","145"
"1290","20373","92"
"1291","20373","156"
"1292","14137","92"
"1293","14138","92"
"1294","6495","92"
"1295","6496","92"
"1296","6497","92"
"1297","16465","76"
"1298","16465","185"
"1299","16461","68"
"1300","16461","89"
"1301","4874","92"
"1302","6486","185"
"1303","6487","185"
"1304","6488","92"
"1305","14155","92"
"1306","14156","92"
"1307","12938","92"
"1308","16463","92"
"1309","16463","118"
"1310","16463","185"
"1311","20374","92"
"1312","14162","92"
"1313","22031","92"
"1314","16462","135"
"1315","20376","92"
"1316","22036","92"
"1317","22037","92"
"1318","22038","92"
"1319","22032","92"
"1320","22009","160"
"1321","22009","185"
"1322","22013","92"
"1323","14164","118"
"1324","22015","68"
"1325","22015","168"
"1326","22015","185"
"1327","22025","92"
"1328","22026","92"
"1329","22028","92"
"1330","16452","92"
"1331","16456","92"
"1332","12935","92"
"1333","21995","121"
"1334","21995","185"
"1335","21996","118"
"1336","21996","168"
"1337","21996","185"
"1338","21998","185"
"1339","22000","92"
"1340","16443","185"
"1341","22016","92"
"1342","22018","118"
"1343","22018","185"
"1344","22019","92"
"1345","12930","92"
"1346","12931","92"
"1347","21983","92"
"1348","21984","92"
"1349","21988","92"
"1350","21990","76"
"1351","21990","77"
"1352","21990","185"
"1353","21991","92"
"1354","20390","92"
"1355","8368","92"
"1356","12921","92"
"1357","12923","92"
"1358","12924","92"
"1359","14166","92"
"1360","20381","92"
"1361","20381","156"
"1362","20382","92"
"1363","21968","92"
"1364","12919","92"
"1365","12920","92"
"1366","21974","264"
"1367","4852","92"
"1368","20380","92"
"1369","6566","92"
"1370","16375","120"
"1371","16375","135"
"1372","16375","148"
"1373","6570","92"
"1374","6571","92"
"1375","16379","76"
"1376","8268","92"
"1377","8269","92"
"1378","8270","92"
"1379","12907","92"
"1380","12908","92"
"1381","12909","92"
"1382","22103","92"
"1383","22104","264"
"1384","22105","92"
"1385","22106","218"
"1386","8271","145"
"1387","22100","120"
"1388","22101","140"
"1389","22098","140"
"1390","22099","140"
"1391","14194","140"
"1392","20355","120"
"1393","16369","120"
"1394","12903","145"
"1395","16366","120"
"1396","16367","140"
"1397","16364","120"
"1398","16365","140"
"1399","20354","169"
"1400","12904","140"
"1401","20352","120"
"1402","12893","140"
"1403","12894","140"
"1404","12896","140"
"1405","16359","140"
"1406","8276","140"
"1407","16360","145"
"1408","8275","218"
"1409","6553","169"
"1410","6554","169"
"1411","6556","140"
"1412","6561","140"
"1413","6562","145"
"1414","6564","140"
"1415","16355","92"
"1416","12901","92"
"1417","8277","92"
"1418","16338","185"
"1419","16339","121"
"1420","16339","168"
"1421","16339","185"
"1422","12881","92"
"1423","20361","92"
"1424","4854","92"
"1425","4855","92"
"1426","12880","92"
"1427","16351","92"
"1428","16344","68"
"1429","16344","89"
"1430","16344","185"
"1431","16345","120"
"1432","16345","135"
"1433","16345","148"
"1434","16347","107"
"1435","16347","171"
"1436","16347","185"
"1437","16483","76"
"1438","16483","77"
"1439","16483","156"
"1440","16483","185"
"1441","14168","185"
"1442","21965","68"
"1443","21965","182"
"1444","21965","185"
"1445","21967","92"
"1446","16484","92"
"1447","14127","92"
"1448","8360","92"
"1449","16479","118"
"1450","16479","185"
"1451","16482","92"
"1452","14125","92"
"1453","16486","92"
"1454","14124","92"
"1455","16488","76"
"1456","16488","218"
"1457","22065","76"
"1458","22065","77"
"1459","22065","185"
"1460","6550","92"
"1461","6551","92"
"1462","22140","121"
"1463","22140","168"
"1464","22140","185"
"1465","22132","92"
"1466","22133","92"
"1467","22139","92"
"1468","22145","92"
"1469","22146","92"
"1470","8284","92"
"1471","8285","92"
"1472","16335","92"
"1473","16320","92"
"1474","16326","92"
"1475","16327","77"
"1476","16327","185"
"1477","16327","439"
"1478","4858","92"
"1479","4859","92"
"1480","20325","92"
"1481","20331","92"
"1482","20332","92"
"1483","20333","92"
"1484","20338","92"
"1485","22150","121"
"1486","22150","168"
"1487","22150","185"
"1488","22148","92"
"1489","22149","92"
"1490","16312","76"
"1491","22110","92"
"1492","22111","92"
"1493","22113","92"
"1494","20343","92"
"1495","20343","156"
"1496","16315","119"
"1497","16315","185"
"1498","22119","92"
"1499","22121","77"
"1500","22121","118"
"1501","22121","185"
"1502","22122","92"
"1503","22128","92"
"1504","6538","92"
"1505","6540","92"
"1506","6541","92"
"1507","6546","92"
"1508","6547","92"
"1509","16318","92"
"1510","16305","92"
"1511","16306","92"
