"pls_id","chd_id","rcs_id"
"1345","1345","1"
"1347","1347","5"
"1349","1349","2"
"1350","1350","2"
"1351","1351","2"
"1352","1352","83"
"1353","1353","83"
"1354","1354","94"
"1355","1355","94"
"1356","1356","94"
"1357","1357","94"
"1358","1358","92"
"1359","1359","92"
"1360","1360","92"
"1363","1363","4"
"1366","1366","5"
"1367","1367","83"
"1368","1368","5"
"1369","1369","5"
"1370","1370","5"
"1373","1373","5"
"1374","1374","83"
"1375","1375","33"
"1376","1376","94"
"1377","1377","5"
"1378","1378","5"
"1381","1381","83"
"1387","1387","4"
"1388","1388","4"
"1389","1389","4"
"1391","1391","5"
"1392","1392","103"
"1393","1393","94"
"1394","1394","5"
"1397","1397","103"
"1398","1398","5"
"1401","1401","94"
"1402","1402","94"
"1403","1403","103"
"1405","1405","94"
"1412","1412","94"
"1413","1413","94"
"1420","1420","92"
"1421","1421","92"
"1429","1429","3"
"1431","1431","103"
"1433","1433","5"
"1438","1438","92"
"1439","1439","92"
"1441","1441","83"
"1443","1443","92"
"1448","1448","3"
"1454","1454","1"
"1456","1456","94"
"1457","1457","94"
"1460","1460","103"
"1461","1461","94"
"1466","1466","1"
"1474","1474","94"
"1477","1477","5"
"1478","1478","5"
"1479","1479","5"
"1483","1483","5"
"1484","1484","5"
"1485","1485","5"
"1487","1487","1"
"1489","1489","94"
"1490","1490","94"
"1491","1491","79"
"1493","1493","79"
"1494","1494","79"
"1495","1495","103"
"1496","1496","94"
"1497","1497","83"
"1498","1498","83"
"1499","1499","5"
"1500","1500","1"
"1509","1509","1"
"1510","1510","26"
"1511","1511","83"
"1512","1512","26"
"1513","1513","5"
"1516","1516","100"
"1517","1517","5"
"1519","1519","83"
"1520","1520","94"
"1521","1521","93"
"1522","1522","94"
"1523","1523","92"
"1527","1527","83"
"1528","1528","83"
"1529","1529","83"
"1533","1533","83"
"1535","1535","5"
"1536","1536","5"
"1537","1537","4"
"1538","1538","83"
"1539","1539","33"
"1540","1540","83"
"1541","1541","94"
"1547","1547","83"
"1548","1548","92"
"1550","1550","103"
"1551","1551","1"
"1553","1553","94"
"1555","1555","1"
"1556","1556","1"
"1558","1558","83"
"1562","1562","1"
"1563","1563","1"
"1564","1564","100"
"1565","1565","100"
"1568","1568","83"
"1569","1569","94"
"1570","1570","83"
"1571","1571","83"
"1577","1577","83"
"1584","1584","83"
"1586","1586","83"
"1587","1587","83"
"1588","1588","94"
"1592","1592","83"
"1593","1593","83"
"1594","1594","92"
"1595","1595","92"
"1597","1597","94"
"1598","1598","94"
"1599","1599","94"
"1600","1600","5"
"1601","1601","5"
"1603","1603","1"
"1606","1606","79"
"1607","1607","94"
"1608","1608","94"
"1613","1613","83"
"1614","1614","94"
"1615","1615","94"
"1616","1616","4"
"1618","1618","94"
"1619","1619","5"
"1620","1620","5"
"1621","1621","83"
"1623","1623","83"
"1624","1624","83"
"1625","1625","92"
"1626","1626","92"
"1627","1627","5"
"1628","1628","4"
"1629","1629","94"
"1630","1630","5"
"1631","1631","5"
"1645","1645","26"
"1647","1647","83"
"1648","1648","83"
"1653","1653","1"
"1660","1660","1"
"1663","1663","1"
"1664","1664","1"
"1665","1665","94"
"1674","1674","1"
"1677","1677","92"
"1678","1678","103"
"1681","1681","94"
"1683","1683","4"
"1684","1684","2"
"1686","1686","5"
"1690","1690","4"
"1694","1694","83"
"1695","1695","68"
"1703","1703","1"
"1704","1704","1"
"1706","1706","94"
"1707","1707","94"
"1708","1708","1"
"1710","1710","93"
"1713","1713","94"
"1715","1715","94"
"1717","1717","5"
"1718","1718","26"
"1719","1719","26"
"1720","1720","23"
"1721","1721","23"
"1724","1724","94"
"1728","1728","83"
"1729","1729","83"
"1730","1730","83"
"1735","1735","94"
"1737","1737","94"
"1742","1742","1"
"1743","1743","1"
"1745","1745","5"
"1746","1746","5"
"1747","1747","93"
"1748","1748","1"
"1749","1749","5"
"1752","1752","94"
"1753","1753","94"
"1768","1768","83"
"1769","1769","83"
"1775","1775","83"
"1776","1776","94"
"1783","1783","94"
"1784","1784","94"
"1789","1789","92"
"1790","1790","100"
"1791","1791","100"
"1798","1798","68"
"1799","1799","68"
"1800","1800","68"
"1808","1808","5"
"1811","1811","5"
"1812","1812","5"
"1813","1813","5"
"1814","1814","94"
"1815","1815","94"
"1816","1816","94"
"1817","1817","94"
"1825","1825","5"
"1826","1826","5"
"1827","1827","94"
"1828","1828","94"
"1832","1832","94"
"1833","1833","83"
"1834","1834","83"
"1835","1835","94"
"1836","1836","5"
"1840","1840","94"
"1853","1853","5"
"1865","1865","68"
"1866","1866","103"
"1867","1867","1"
"1880","1880","94"
"1881","1881","94"
"1882","1882","33"
"1883","1883","1"
"1890","1890","83"
"1891","1891","93"
"1920","1920","94"
"1921","1921","83"
"1922","1922","4"
"1925","1925","83"
"1928","1928","83"
"1931","1931","103"
"1934","1934","83"
"1941","1941","100"
"1942","1942","83"
"1943","1943","94"
"1962","1962","83"
"1964","1964","83"
"1973","1973","94"
"1981","1981","83"
"1983","1983","26"
"1984","1984","26"
"1988","1988","94"
"2011","2011","94"
"2014","2014","92"
"2015","2015","92"
"2017","2017","4"
"2030","2030","5"
"2031","2031","5"
"2034","2034","4"
"2038","2038","5"
"2056","2056","94"
"2058","2058","5"
"2059","2059","5"
"2113","2113","5"
"2114","2114","5"
"3001","2133","94"
"3002","2134","94"
"3003","1968","94"
"3004","2154","5"
"3005","2155","5"
"3006","1589","83"
"3007","1590","83"
"3009","1857","83"
"3010","1855","83"
"3011","1854","83"
"3015","2036","83"
"3016","2028","1"
"3017","2029","1"
"3018","1758","33"
"3019","1760","33"
"3020","1761","33"
"3021","1759","33"
"3022","1691","1"
"3023","2019","94"
"3024","2020","94"
"3025","2104","94"
"3026","2105","94"
"3028","2168","92"
"3029","2160","26"
"3030","1758","26"
"3031","1760","26"
"3032","1759","26"
"3033","1761","26"
"3034","1911","94"
"3035","1912","83"
"3036","1913","83"
"3037","1150","83"
"3038","1463","33"
"3039","1464","33"
"3040","1936","103"
"3041","1957","83"
"3042","1998","83"
"3043","1999","83"
"3044","1965","94"
"3045","2078","5"
"3046","2124","94"
"3047","2009","68"
"3048","1935","103"
"3049","2009","94"
"3051","2127","83"
"3052","2081","26"
"3053","1810","26"
"3054","1731","94"
"3055","1923","94"
"3056","2062","94"
"3057","1444","92"
"3058","1961","1"
"3059","2079","33"
"3060","2184","94"
