"fsn_id","fam_id","spn_id"
"1158","33494","20"
"1159","33494","60"
"1160","33494","40"
"1161","33494","50"
"1162","31209","40"
"1163","31209","50"
"1164","29316","40"
"1165","29316","50"
"1171","32830","70"
"1172","32830","60"
"1173","32830","40"
"1174","32830","30"
"1175","32830","50"
"1179","34247","70"
"1180","32122","30"
"1181","34699","40"
"1182","34699","50"
"1183","31104","10"
"1184","31104","60"
"1185","31104","40"
"1186","31104","50"
"1187","31104","20"
"1188","34273","10"
"1189","31449","30"
"1190","29339","40"
"1191","29339","50"
"1192","34305","50"
"1194","31449","70"
"1196","35969","40"
"1197","35969","50"
"1200","35940","70"
"1201","28575","50"
"1202","34700","60"
"1203","35969","30"
"1204","35175","40"
"1205","35175","50"
"1206","30624","30"
"1207","34429","30"
"1208","34429","50"
"1209","27781","10"
"1210","27781","60"
"1211","27781","40"
"1212","27781","50"
"1213","33278","20"
"1214","32182","70"
"1215","6869","40"
"1216","6869","50"
"1217","6869","60"
"1218","34107","60"
"1219","31261","70"
"1220","27264","70"
"1221","27264","20"
"1222","27264","40"
"1223","27264","50"
"1224","35231","60"
"1225","35231","40"
"1226","35231","30"
"1227","35231","50"
"1228","14644","70"
"1229","14644","10"
"1230","37531","40"
"1231","37030","40"
"1232","37030","50"
"1233","37535","40"
"1234","37535","50"
"1235","35435","50"
"1236","37584","40"
"1237","802","50"
"1238","37828","40"
"1239","37828","50"
"1240","35824","70"
"1241","35824","20"
"1242","35824","10"
"1243","35824","60"
"1244","35824","40"
"1245","35824","50"
"1246","34878","40"
"1247","34878","50"
"1248","37721","40"
"1249","37721","50"
"1250","5027","20"
"1251","5027","40"
"1252","5027","50"
"1253","36787","20"
"1254","36787","40"
"1255","36787","50"
"1256","38017","40"
"1257","37825","40"
"1258","37825","50"
"1259","32136","30"
"1260","35934","40"
"1261","35934","50"
"1262","36878","40"
"1263","36878","50"
"1264","36166","40"
"1265","36166","50"
"1266","36987","40"
"1267","36987","50"
"1268","33141","40"
"1269","33141","50"
"1270","38438","40"
"1271","38438","50"
"1272","37378","70"
"1273","31130","70"
"1274","31130","10"
"1275","36407","40"
"1276","36407","50"
"1277","38493","40"
"1278","38493","50"
"1279","38857","40"
"1280","38857","50"
"1281","38569","40"
"1282","38569","50"
"1283","37137","40"
