"clc_id","cll_id","chd_id"
"245","2492","1556"
"246","2493","889"
"247","2494","1101"
"248","337","889"
"249","338","1555"
"250","338","1556"
"251","674","1547"
"252","1256","1448"
"253","2570","547"
"254","2571","1547"
"255","2572","99"
"256","138","398"
"257","139","1522"
"258","140","1515"
"259","141","1451"
"260","142","1480"
"261","142","1481"
"262","142","1482"
"263","143","1332"
"264","143","1333"
"265","143","1334"
"266","144","1301"
"267","144","1302"
"268","1814","746"
"269","915","1562"
"270","915","1563"
"271","2573","1475"
"272","2573","1476"
"273","2574","1544"
"274","2574","1545"
"275","2575","1609"
"276","2575","1610"
"277","1812","547"
"278","1813","1459"
"279","675","929"
"280","676","1550"
"281","1261","1284"
"282","1261","1285"
"283","1810","1448"
"284","677","1451"
"285","678","1323"
"286","145","1248"
"287","146","1448"
"288","1257","1231"
"289","335","1418"
"290","1258","1618"
"291","1259","1500"
"292","1260","1601"
"293","2569","1293"
"294","2569","1295"
"295","2243","1293"
"296","2243","1295"
"297","2554","1542"
"298","2555","1549"
"299","2556","1531"
"300","2236","1280"
"301","1818","1230"
"302","1818","1232"
"303","2599","1600"
"304","2600","1601"
"305","1404","1459"
"306","1405","1460"
"307","2557","1459"
"308","2558","1460"
"309","2559","1601"
"310","916","1151"
"311","917","1271"
"312","917","1375"
"313","917","1587"
"314","918","1435"
"315","919","1591"
"316","920","1012"
"317","920","1013"
"318","921","1459"
"319","922","1601"
"320","923","1436"
"321","924","1611"
"322","925","1607"
"323","925","1608"
"324","926","1460"
"325","927","1533"
"326","2560","1601"
"327","339","1600"
"328","340","1487"
"329","341","1271"
"330","341","1375"
"331","341","1587"
"332","1249","1459"
"333","1250","1460"
"334","1251","1606"
"335","1252","1533"
"336","1253","399"
"337","1254","1012"
"338","1254","1013"
"339","1255","1436"
"340","2561","1521"
"341","2562","1541"
"342","2563","1547"
"343","2564","1365"
"344","2565","1522"
"345","2566","1544"
"346","2566","1545"
"347","2567","1527"
"348","2567","1528"
"349","2567","1529"
"350","2568","1537"
"351","2568","1538"
"352","2237","1293"
"353","2237","1295"
"354","147","1436"
"355","686","1591"
"356","687","1600"
"357","688","1436"
"358","689","1601"
"359","1396","1591"
"360","1397","1573"
"361","1397","1574"
"362","914","1558"
"363","1819","1436"
"364","690","1459"
"365","691","1460"
"366","692","1601"
"367","2601","1439"
"368","1820","1459"
"369","1821","746"
"370","1822","1194"
"371","1822","1195"
"372","1822","1196"
"373","148","1500"
"374","149","1551"
"375","150","410"
"376","2604","1500"
"377","2605","1603"
"378","2606","1500"
"379","2607","1551"
"380","2608","663"
"381","2609","1618"
"382","2610","1500"
"383","2611","1603"
"384","1394","502"
"385","1395","1451"
"386","2235","1448"
"387","1262","1487"
"388","1263","1601"
"389","2602","1531"
"390","2603","1500"
"391","2234","1500"
"392","151","1603"
"393","1823","1601"
"394","679","1618"
"395","680","1522"
"396","681","1435"
"397","682","663"
"398","683","1312"
"399","684","1580"
"400","685","1260"
"401","1398","1404"
"402","1398","1405"
"403","1399","1487"
"404","1400","1537"
"405","1400","1538"
"406","1401","1394"
"407","1402","1601"
"408","1403","1337"
"409","1403","1338"
"410","2598","632"
"411","2598","633"
"412","152","1603"
"413","153","1621"
"414","154","1568"
"415","1816","1645"
"416","2597","1623"
"417","2597","1624"
"418","2238","1608"
"419","2239","1635"
"420","2240","1463"
"421","2240","1464"
"422","2240","1503"
"423","2241","1259"
"424","2576","1292"
"425","2577","1645"
"426","2578","1642"
"427","2579","1644"
"428","2580","1632"
"429","2581","1635"
"430","2582","1642"
"431","2583","1605"
"432","2584","1463"
"433","2584","1464"
"434","2584","1503"
"435","2585","1539"
"436","2585","1540"
"437","2586","1480"
"438","2586","1481"
"439","2586","1482"
"440","2587","1231"
"441","2588","1392"
"442","2589","1643"
"443","2590","1655"
"444","2591","1451"
"445","2592","1439"
"446","1817","1436"
"447","2593","1463"
"448","2593","1464"
"449","2593","1503"
"450","2594","1463"
"451","2594","1464"
"452","2594","1503"
"453","2595","1604"
"454","2596","1602"
"455","1799","1084"
"456","1800","1238"
"457","1801","1635"
"458","1246","1594"
"459","1246","1595"
"460","1247","1337"
"461","1247","1338"
"462","1248","1392"
"463","1802","1537"
"464","1802","1538"
"465","1803","1500"
"466","1804","1539"
"467","1804","1540"
"468","1805","1451"
"469","330","1601"
"470","331","1260"
"471","332","1608"
"472","333","1487"
"473","1244","1332"
"474","1244","1333"
"475","1244","1334"
"476","1245","1194"
"477","1245","1195"
"478","1245","1196"
"479","1240","1459"
"480","1241","1460"
"481","1242","1642"
"482","1407","1603"
"483","1243","1635"
"484","1406","632"
"485","1406","633"
"486","693","1644"
"487","694","1603"
"488","695","1621"
"489","696","1091"
"490","697","1084"
"491","698","1300"
"492","699","1392"
"493","2613","1554"
"494","2614","1653"
"495","2615","601"
"496","1806","1623"
"497","1806","1624"
"498","1807","1547"
"499","155","1332"
"500","155","1333"
"501","155","1334"
"502","2612","1653"
"503","1808","1653"
"504","1809","1461"
"505","735","1653"
"506","1408","1500"
"507","1409","1628"
"508","1410","1554"
"509","1411","1461"
"510","1238","746"
"511","736","1337"
"512","737","1338"
"513","738","1642"
"514","2233","1635"
"515","1796","632"
"516","1796","633"
"517","2232","1332"
"518","2232","1333"
"519","2232","1334"
"520","1234","1459"
"521","1235","1600"
"522","156","1578"
"523","157","1643"
