"fss_id","fam_id","ssv_id"
"1127","28885","40"
"1128","28885","80"
"1129","28885","30"
"1131","28885","50"
"1132","28886","10"
"1133","28913","40"
"1134","28913","80"
"1135","28913","30"
"1137","28913","50"
"1138","28964","40"
"1139","28964","80"
"1140","28964","30"
"1142","28964","50"
"1143","28967","40"
"1144","28967","80"
"1145","28967","30"
"1146","28967","20"
"1147","28967","50"
"1148","28851","70"
"1149","4593","20"
"1150","4593","50"
"1152","21804","50"
"1157","29226","50"
"1158","29265","60"
"1159","29386","40"
"1161","29386","50"
"1163","22288","50"
"1165","17382","50"
"1166","17382","70"
"1167","26886","70"
"1169","29496","50"
"1170","3809","20"
"1171","3809","50"
"1174","29546","70"
"1175","29625","40"
"1177","29625","50"
"1178","11898","10"
"1180","29653","40"
"1181","29653","30"
"1182","29653","50"
"1183","29653","70"
"1184","24720","70"
"1185","29787","50"
"1186","29787","70"
"1187","29227","70"
"1188","26877","10"
"1189","26877","70"
"1190","29900","20"
"1191","29900","50"
"1192","29948","30"
"1193","29962","40"
"1194","29962","30"
"1196","29962","50"
"1197","17382","30"
"1199","27031","10"
"1201","29339","60"
"1202","29894","60"
"1203","26495","70"
"1204","29894","70"
"1205","29339","70"
"1206","29735","70"
"1207","20433","70"
"1208","25942","60"
"1209","25942","70"
"1211","30007","70"
"1212","30037","70"
"1213","30044","70"
"1214","7865","30"
"1215","7865","50"
"1218","24093","70"
"1220","30057","70"
"1221","28678","70"
"1222","28888","70"
"1223","25085","70"
"1224","27586","70"
"1225","24194","70"
"1226","24793","70"
"1227","30073","70"
"1228","24348","70"
"1229","11827","70"
"1230","30098","70"
"1231","30086","70"
"1232","29393","70"
"1233","30116","30"
"1235","30116","50"
"1236","29501","70"
"1237","30141","70"
"1238","30142","70"
"1239","28733","70"
"1241","25061","70"
"1242","27996","70"
"1243","30173","70"
"1244","29533","70"
"1245","28459","70"
"1246","2339","70"
"1247","25964","70"
"1248","23427","70"
"1249","29245","70"
"1250","29068","70"
"1251","30203","70"
"1252","27006","70"
"1253","30239","70"
"1254","29228","70"
"1255","30260","30"
"1256","30267","70"
"1257","29850","70"
"1258","28297","70"
"1259","30090","70"
"1260","30291","70"
"1261","30292","70"
"1262","30090","10"
"1263","22731","70"
"1264","30313","50"
"1265","12360","70"
"1266","20638","70"
"1267","27242","70"
"1268","29207","70"
"1269","30324","40"
"1270","30324","80"
"1271","30324","30"
"1273","30324","50"
"1274","30325","70"
"1276","29342","70"
"1277","28338","70"
"1278","30345","70"
"1279","29566","70"
"1280","30260","70"
"1281","30119","70"
"1282","29263","70"
"1283","28167","70"
"1284","29496","70"
"1285","29719","70"
"1286","7371","70"
"1287","24906","70"
"1288","20468","70"
"1289","25646","70"
"1290","29851","70"
"1291","22578","70"
"1293","23561","70"
"1294","12426","70"
"1295","28812","70"
"1296","27549","70"
"1297","30005","70"
"1298","22807","70"
"1299","30109","70"
"1300","17898","70"
"1301","27713","70"
"1302","30347","70"
"1303","30348","70"
"1304","30349","70"
"1305","30350","70"
"1306","30358","70"
"1307","30397","20"
"1308","9365","70"
"1309","30401","70"
"1310","29533","10"
"1311","29821","70"
"1312","7189","70"
"1313","30288","70"
"1314","30431","70"
"1315","30432","10"
"1316","30432","70"
"1318","30433","70"
"1319","30430","70"
"1321","30455","70"
"1322","30490","70"
"1323","30491","70"
"1324","30494","70"
"1325","29747","70"
"1326","30528","70"
"1328","30562","70"
"1329","28167","10"
"1330","30638","20"
"1331","30638","50"
"1332","30715","40"
"1333","30715","80"
"1334","30715","30"
"1336","30715","50"
"1337","30740","70"
"1338","30741","70"
"1339","24849","40"
"1340","30762","40"
"1341","29406","70"
"1342","29872","70"
"1343","29437","70"
"1344","30817","70"
"1345","30823","70"
"1346","7127","20"
"1347","30536","70"
"1348","30828","70"
"1349","30829","70"
"1350","30838","70"
"1351","30841","70"
"1352","30848","70"
"1353","30852","70"
"1354","30866","70"
"1355","30552","70"
"1356","12177","70"
"1357","28837","10"
"1358","27713","10"
"1360","30916","70"
"1361","28599","70"
"1362","27800","70"
"1363","30634","70"
"1364","25839","70"
"1366","26528","50"
"1367","29452","70"
"1368","25806","70"
"1369","19169","70"
"1370","30967","60"
"1371","30967","70"
"1372","30968","60"
"1373","30968","70"
"1374","30954","70"
"1375","27800","10"
"1376","11822","70"
"1378","31017","60"
"1379","31017","70"
"1380","30224","70"
"1383","27564","70"
"1384","28207","60"
"1385","28207","70"
"1386","31028","70"
"1387","28531","70"
"1388","31036","70"
"1389","31041","70"
"1390","31052","70"
"1391","30240","10"
"1392","14056","60"
"1393","14056","70"
"1394","29452","10"
"1396","31063","70"
"1397","30677","10"
"1398","30677","70"
"1399","31080","70"
"1400","29950","70"
"1401","30082","20"
"1402","23197","80"
"1403","23197","30"
"1404","23197","20"
"1405","24911","70"
"1406","31093","70"
"1408","31099","70"
"1409","31102","70"
"1410","28458","70"
"1411","31103","70"
"1412","31104","70"
"1413","31105","50"
"1414","31105","70"
"1415","31111","10"
"1416","31111","70"
"1417","23691","70"
"1418","31120","40"
"1420","31120","50"
"1421","19811","70"
"1422","31142","70"
"1423","31152","70"
"1424","27389","70"
"1425","30971","70"
"1426","3069","20"
"1427","27006","10"
"1428","27359","70"
"1429","30417","70"
"1430","31219","70"
"1431","31231","70"
"1432","31243","70"
"1433","30323","60"
"1434","31274","70"
"1435","31275","70"
"1436","25635","70"
"1437","28427","70"
"1438","30275","70"
"1439","24925","70"
"1440","31289","70"
"1442","17898","10"
"1443","31374","70"
"1444","22304","70"
"1445","29395","70"
"1446","31383","70"
"1447","31385","70"
"1448","31387","70"
"1449","29441","10"
"1450","31398","70"
"1451","31401","10"
"1452","31401","70"
"1453","30451","70"
"1454","27856","70"
"1455","21714","30"
"1458","15717","20"
"1459","15717","50"
"1460","14546","20"
"1461","12611","30"
"1463","21804","30"
